"","Recipient","DollarAmount","# of Donations","AvgDonation"
"1","SENATE LEADERSHIP FUND",3937300,13,302869.230769231
"2","CONGRESSIONAL LEADERSHIP FUND",3350000,8,418750
"3","TRUMP VICTORY",2697001,14,192642.928571429
"4","TEAM RYAN",2252550,25,90102
"5","RIGHT TO RISE USA",2082500,5,416500
"6","REPUBLICAN NATIONAL COMMITTEE",1832100,13,140930.769230769
"7","SMP",1388000,4,347000
"8","AMERICA LEADS",1250000,1,1250000
"9","L PAC",1152835,3,384278.333333333
"10","TAKE BACK THE HOUSE 2020",1098900,8,137362.5
"11","PROTECT THE HOUSE",903000,5,180600
"12","HILLARY VICTORY FUND",902103,14,64435.9285714286
"13","HOUSE MAJORITY PAC",755000,2,377500
"14","NRSC",753300,18,41850
"15","CONSERVATIVE SOLUTIONS PAC",750000,2,375000
"16","NRCC",599000,18,33277.7777777778
"17","Hillary Victory Fund",571513,10,57151.3
"18","Gridiron-PAC",514650,69,7458.69565217391
"19","Right to Rise USA",476000,5,95200
"20","1820 PAC",375000,3,125000
"21","NRSC TARGETED STATE VICTORY COMMITTEE",350000,2,175000
"22","NEW REPUBLICAN PAC",339100,3,113033.333333333
"23","MCCARTHY VICTORY FUND",330600,8,41325
"24","GARDNER VICTORY COMMITTEE",321700,5,64340
"25","America Leads",3e+05,2,150000
"26","GOVERN OR GO HOME",3e+05,1,3e+05
"27","UNITED TOGETHER",3e+05,1,3e+05
"28","SCALISE LEADERSHIP FUND",275200,6,45866.6666666667
"29","DRAFT BIDEN 2016",272000,1,272000
"30","CORNYN MAJORITY COMMITTEE",263900,8,32987.5
"31","DSCC",228600,11,20781.8181818182
"32","BETTER FUTURE MI FUND",225000,2,112500
"33","AMERICA FIRST ACTION, INC.",2e+05,1,2e+05
"34","American Unity PAC",2e+05,1,2e+05
"35","CITIZENS FOR A STRONG AMERICA INC",2e+05,1,2e+05
"36","DUTY AND COUNTRY",2e+05,1,2e+05
"37","UNITED FOR PROGRESS, INC.",2e+05,1,2e+05
"38","Trump Victory",188600,8,23575
"39","OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE",187500,25,7500
"40","Republican National Committee",184605,6,30767.5
"41","DNC SERVICES CORP./DEM. NAT'L COMMITTEE",174100,5,34820
"42","Office of the Commissioner of Major League Baseball PAC",164333,27,6086.40740740741
"43","BOEHNER FOR SPEAKER",160000,3,53333.3333333333
"44","DCCC",157700,12,13141.6666666667
"45","NRSC TARGETED STATE VICTORY FUND",150000,1,150000
"46","OUR PRINCIPLES PAC",150000,1,150000
"47","Hillary Action Fund",140800,4,35200
"48","MCCONNELL VICTORY COMMITTEE",137200,3,45733.3333333333
"49","DEFEND THE SENATE",134600,3,44866.6666666667
"50","DEFENDARIZONA",125000,2,62500
"51","FIGHTING FOR OHIO FUND",125000,2,62500
"52","WOMEN VOTE!",106519,1,106519
"53","AB PAC",1e+05,1,1e+05
"54","AMERICAN CROSSROADS",1e+05,1,1e+05
"55","GREAT AMERICA PAC",1e+05,1,1e+05
"56","Illinois Democrats for Change",1e+05,1,1e+05
"57","LONG ISLANDERS FOR TRUTH INC",1e+05,1,1e+05
"58","MICHIGAN REPUBLICAN PARTY",1e+05,6,16666.6666666667
"59","NEW DAY FOR AMERICA",1e+05,1,1e+05
"60","Senate Majority PAC",1e+05,1,1e+05
"61","STANDING UP FOR CALIFORNIA'S MIDDLE CLASS",1e+05,1,1e+05
"62","TEAM HOLCOMB",1e+05,2,50000
"63","OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE",95000,7,13571.4285714286
"64","Biden Action Fund",91100,2,45550
"65","PROBLEM SOLVERS PATRIOTS",84000,1,84000
"66","MOONEY VICTORY FUND",83400,3,27800
"67","PORTMAN FOR SENATE COMMITTEE",78300,17,4605.88235294118
"68","RICK SCOTT VICTORY FUND",75900,2,37950
"69","INTEGRITY NJ",75000,1,75000
"70","Office of the Commissioner of Major League Baseball Political Action Committee",75000,10,7500
"71","RESTORATION PAC",75000,2,37500
"72","The Principles Project",75000,1,75000
"73","UNITE THE COUNTRY",75000,1,75000
"74","MCSALLY FOR SENATE INC",72400,15,4826.66666666667
"75","COLLINS FOR SENATOR",69300,15,4620
"76","GRIDIRON-PAC",65000,6,10833.3333333333
"77","ERNST VICTORY IOWA",62800,3,20933.3333333333
"78","WINRED",60120,11,5465.45454545455
"79","DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE",60000,4,15000
"80","Toomey Victory Committee",59200,2,29600
"81","TIM SCOTT FOR SENATE",54400,13,4184.61538461538
"82","HELLER FOR SENATE",53600,11,4872.72727272727
"83","UNINTIMIDATED PAC INC",52485,2,26242.5
"84","BLACK ECONOMIC ALLIANCE PAC",50000,1,50000
"85","COMMITTEE FOR MARYLAND'S PROGRESS",50000,1,50000
"86","FIGHTING FOR FLORIDA FUND",50000,1,50000
"87","NATSO INC. NATSO PAC",50000,3,16666.6666666667
"88","SENATE MAJORITY PAC",50000,2,25000
"89","Stabenow Victory Fund",50000,4,12500
"90","TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT",50000,3,16666.6666666667
"91","UNITED FOR MASSACHUSETTS",50000,1,50000
"92","VICTORY 2016",50000,1,50000
"93","RUBIO VICTORY COMMITTEE",46700,4,11675
"94","RON JOHNSON FOR SENATE INC",45710,11,4155.45454545455
"95","Charlie Crist for Congress",42100,10,4210
"96","Biden Victory Fund",41100,2,20550
"97","MIMI WALTERS VICTORY FUND",40950,7,5850
"98","HOUSLEY FOR SENATE COMMITTEE",40500,7,5785.71428571429
"99","FRIENDS OF PAT TOOMEY",40000,12,3333.33333333333
"100","INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE",40000,4,10000
"101","JOHN BOLTON SUPER PAC",40000,3,13333.3333333333
"102","JEFF FLAKE FOR US SENATE INC",38800,9,4311.11111111111
"103","PERDUE FOR SENATE",38400,6,6400
"104","CARLOS CURBELO CONGRESS",38100,10,3810
"105","CORY GARDNER FOR SENATE",37800,8,4725
"106","ALASKANS FOR DAN SULLIVAN",36200,9,4022.22222222222
"107","MICHIGAN SENATE VICTORY 2020",36100,1,36100
"108","BIDEN ACTION FUND",35500,1,35500
"109","JEB 2016, INC.",35100,11,3190.90909090909
"110","CALIFORNIA VICTORY 2018",35000,1,35000
"111","HUDSON FREEDOM FUND",35000,2,17500
"112","OUTSIDER PAC",35000,2,17500
"113","THOM TILLIS COMMITTEE",34500,7,4928.57142857143
"114","FRIENDS OF KELLY AYOTTE INC",34300,9,3811.11111111111
"115","FRIENDS OF SCHUMER",34300,8,4287.5
"116","DNC Services Corp./Dem. Nat'l committee",33900,1,33900
"117","RED TO BLUE VICTORY FUND",33900,1,33900
"118","FRIENDS OF JOE HECK",33200,9,3688.88888888889
"119","DONNELLY VICTORY FUND",32700,1,32700
"120","FRIENDS OF JOHN BARRASSO",32600,7,4657.14285714286
"121","TRUE NORTH PAC",32500,5,6500
"122","AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE",32093,3,10697.6666666667
"123","RICK SCOTT FOR FLORIDA",32000,6,5333.33333333333
"124","STEVE CHABOT FOR CONGRESS",32000,7,4571.42857142857
"125","MCCONNELL FOR MAJORITY LEADER COMMITTEE",31600,5,6320
"126","BIDEN FOR PRESIDENT",31450,10,3145
"127","ANTHONY GONZALEZ FOR CONGRESS",31300,5,6260
"128","NORTH SIDE GOOD GOVERNMENT COMMITTEE",31000,3,10333.3333333333
"129","Hillary For America",30800,4,7700
"130","TEXANS FOR SENATOR JOHN CORNYN INC.",30800,5,6160
"131","TOOMEY PENNSYLVANIA VICTORY FUND",30400,3,10133.3333333333
"132","ALTICOR POLITICAL ACTION COMMITTEE ALTIPAC",30000,3,10000
"133","COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL",30000,3,10000
"134","NEW JERSEY DEMOCRATIC STATE COMMITTEE",30000,2,15000
"135","THE 2016 COMMITTEE",30000,1,30000
"136","THE DESERT CAUCUS",30000,3,10000
"137","UTAH REPUBLICAN PARTY",30000,3,10000
"138","YOUNG VICTORY COMMITTEE",30000,1,30000
"139","MARSHA FOR SENATE",29900,7,4271.42857142857
"140","MARCO RUBIO FOR SENATE 2016",29700,8,3712.5
"141","CORY BOOKER FOR SENATE",29300,8,3662.5
"142","JOSH HAWLEY FOR SENATE",29300,6,4883.33333333333
"143","Portman for Senate Committee",28220,9,3135.55555555556
"144","FRIENDS OF ROY BLUNT",27500,7,3928.57142857143
"145","FRIENDS OF JOHN MCCAIN INC",27400,9,3044.44444444444
"146","FRIENDS OF TODD YOUNG, INC.",27200,6,4533.33333333333
"147","HUDSON FOR CONGRESS",27200,5,5440
"148","TEAM GRAHAM, INC.",27100,6,4516.66666666667
"149","Colorado Republican Committee",27000,4,6750
"150","MORAN FOR KANSAS",27000,5,5400
"151","DELBENE FOR CONGRESS",26900,9,2988.88888888889
"152","STARS AND STRIPES FOREVER PAC",26000,2,13000
"153","BILL CASSIDY FOR US SENATE",25800,6,4300
"154","PERDUE VICTORY INC",25600,4,6400
"155","JOHN JAMES FOR SENATE, INC.",25200,5,5040
"156","AYOTTE VICTORY COMMITTEE",25000,1,25000
"157","Big Sky Values PAC",25000,1,25000
"158","CME Group Inc. Pac",25000,3,8333.33333333333
"159","FLAKE VICTORY COMMITTEE",25000,1,25000
"160","FLORIDA VOTES COUNT",25000,1,25000
"161","Great Arizona Fund",25000,1,25000
"162","GROWTH ENERGY PAC",25000,3,8333.33333333333
"163","HILLARY ACTION FUND",25000,1,25000
"164","INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE",25000,2,12500
"165","INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC)",25000,3,8333.33333333333
"166","KEEP THE SENATE RED 2018",25000,1,25000
"167","National Beer Wholesalers Association PAC",25000,3,8333.33333333333
"168","PORTMAN VICTORY COMMITTEE",25000,2,12500
"169","Problem Solver Democrats",25000,1,25000
"170","Problem Solver Republicans",25000,1,25000
"171","Senate Majority Pac",25000,1,25000
"172","TEAM HUDSON",25000,1,25000
"173","TEXANS FOR A CONSERVATIVE MAJORITY",25000,1,25000
"174","TRUSTED LEADERSHIP PAC",25000,1,25000
"175","U.S. TRAVEL ASSOCIATION PAC",25000,3,8333.33333333333
"176","WE THE PEOPLE, NOT WASHINGTON",25000,1,25000
"177","Mike Gallagher for Wisconsin",24700,5,4940
"178","LISA MURKOWSKI FOR US SENATE",24600,7,3514.28571428571
"179","CITIZENS FOR JOSH MANDEL INC",24475,5,4895
"180","CRAMER FOR SENATE",24300,5,4860
"181","MIKE BISHOP FOR CONGRESS",24100,5,4820
"182","Boehner for Speaker",23675,2,11837.5
"183","THE RICHARD BURR COMMITTEE",23550,7,3364.28571428571
"184","FRIENDS OF JOHN THUNE",23400,6,3900
"185","TIM RYAN FOR CONGRESS",23400,5,4680
"186","CORNYN MAJORITY TEXAS",23100,2,11550
"187","HILLARY FOR AMERICA",23050,9,2561.11111111111
"188","MONTANANS FOR TESTER",23000,9,2555.55555555556
"189","HATCH ELECTION COMMITTEE INC",22900,5,4580
"190","Kamala Harris Victory Fund",22900,2,11450
"191","COMSTOCK FOR CONGRESS",22400,7,3200
"192","KEVIN MCCARTHY FOR CONGRESS",22300,6,3716.66666666667
"193","UPTON FOR ALL OF US",22300,6,3716.66666666667
"194","FRIENDS OF MARIA",22000,6,3666.66666666667
"195","AMERICANS UNITED FOR FREEDOM",21600,1,21600
"196","BIDEN VICTORY FUND",21250,1,21250
"197","REPUBLICAN PARTY OF KENTUCKY",21000,3,7000
"198","McConnell For Majority Leader Committee",20800,1,20800
"199","TEAM JOSH",20800,5,4160
"200","ROSENDALE VICTORY FUND",20700,2,10350
"201","GRASSLEY HAWKEYE FUND",20600,3,6866.66666666667
"202","HAWKEYE FUND",20600,1,20600
"203","MCSALLY ARIZONA VICTORY FUND",20400,1,20400
"204","LIZ CHENEY FOR WYOMING",20100,5,4020
"205","AUTOMOTIVE FREE INTERNATIONAL TRADE PAC",20000,3,6666.66666666667
"206","CLEVELAND FORWARD PAC",20000,1,20000
"207","CRUISE LINES INTERNATIONAL ASSOCIATION PAC (CLIA PAC)",20000,3,6666.66666666667
"208","DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND",20000,1,20000
"209","FIRST IN FREEDOM PAC",20000,4,5000
"210","FLORIDA FIRST PROJECT",20000,1,20000
"211","Gridiron-Pac",20000,2,10000
"212","INTERCONTINENTAL EXCHANGE INC PAC",20000,3,6666.66666666667
"213","INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC)",20000,2,10000
"214","MONDAY MEETING PAC",20000,1,20000
"215","MOVING AMERICA FORWARD",20000,2,10000
"216","Office of the Commissioner of Major League Baseball Poliitcal Action Committee",20000,3,6666.66666666667
"217","Portman Victory Committee",20000,2,10000
"218","Republican Party of Wisconsin",20000,2,10000
"219","SUOZZI VICTORY FUND",20000,2,10000
"220","Service First Women's Victory Fund",19600,1,19600
"221","WENSTRUP FOR CONGRESS",19600,5,3920
"222","JOSH GOTTHEIMER FOR CONGRESS",19400,5,3880
"223","HURD VICTORY FUND",19350,4,4837.5
"224","FRIENDS OF MARK WARNER",19300,4,4825
"225","HUIZENGA FOR CONGRESS",19300,5,3860
"226","CONNOLLY FOR CONGRESS",19200,4,4800
"227","QUIGLEY FOR CONGRESS",19200,6,3200
"228","DONALD NORCROSS FOR CONGRESS",19100,5,3820
"229","TED CRUZ FOR SENATE",19100,4,4775
"230","ELISE FOR CONGRESS",18900,4,4725
"231","FEINSTEIN FOR SENATE 2024",18900,4,4725
"232","MCSALLY FOR CONGRESS",18900,4,4725
"233","SCOTT WALKER INC",18900,5,3780
"234","Wenstrup For Congress",18900,4,4725
"235","MARCO RUBIO FOR PRESIDENT",18500,6,3083.33333333333
"236","TED CRUZ VICTORY COMMITTEE",17800,2,8900
"237","BURR NC VICTORY FUND",17700,2,8850
"238","HELLER VICTORY COMMITTEE",17700,1,17700
"239","STEVE DAINES FOR MONTANA",17500,5,3500
"240","WIN THE ERA PAC",17300,6,2883.33333333333
"241","FRIENDS OF DAVE JOYCE",17000,6,2833.33333333333
"242","VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY)",17000,3,5666.66666666667
"243","FRIENDS OF RAJA FOR CONGRESS",16900,4,4225
"244","JACOBS FOR CONGRESS",16800,3,5600
"245","KENNEDY FOR MASSACHUSETTS",16800,4,4200
"246","MIKE GALLAGHER FOR WISCONSIN",16500,7,2357.14285714286
"247","SCHAKOWSKY FOR CONGRESS",16500,6,2750
"248","ANGIE CRAIG FOR CONGRESS",16400,4,4100
"249","Julia Brownley for Congress",16400,3,5466.66666666667
"250","STEIL VICTORY FUND",16400,3,5466.66666666667
"251","VERN BUCHANAN FOR CONGRESS",16300,3,5433.33333333333
"252","KIRK FOR SENATE",16200,5,3240
"253","MATT ROSENDALE FOR MONTANA",16200,4,4050
"254","MORRISEY FOR SENATE INC",16200,4,4050
"255","RENACCI FOR US SENATE",16200,4,4050
"256","SENATE IMPACT: MN & NV",16200,1,16200
"257","WALTERS FOR CONGRESS",16200,4,4050
"258","COTTON VICTORY",16000,3,5333.33333333333
"259","FRIENDS OF MIA LOVE",16000,4,4000
"260","TEAM GRAHAM INC",16000,4,4000
"261","BRADY FOR CONGRESS",15600,5,3120
"262","Bullock Victory Fund",15600,1,15600
"263","McConnell for Majority Leader Committee",15600,2,7800
"264","KASICH FOR AMERICA INC",15500,4,3875
"265","RENACCI FOR OHIO VICTORY FUND",15500,2,7750
"266","BOOKER SENATE VICTORY",15400,2,7700
"267","Toomey Pennsylvania Victory Fund",15400,1,15400
"268","DEB FISCHER FOR US SENATE",15000,4,3750
"269","GRAHAM VICTORY 2020",15000,1,15000
"270","HOLLAND AMERICA LINE INC. PAC (HALPAC)",15000,2,7500
"271","ILLINOIS VOICES MATTER",15000,1,15000
"272","ONE GEORGIA PAC",15000,2,7500
"273","Team Ryan",15000,2,7500
"274","RICHARD E NEAL FOR CONGRESS COMMITTEE",14900,4,3725
"275","CASTOR FOR CONGRESS",14500,3,4833.33333333333
"276","ROMNEY FOR UTAH INC",14500,4,3625
"277","GEORGIANS FOR ISAKSON",14100,3,4700
"278","FRIENDS OF JIM INHOFE",14000,3,4666.66666666667
"279","PETERS FOR MICHIGAN",14000,3,4666.66666666667
"280","TEAM HAGERTY",14000,3,4666.66666666667
"281","KOHL FOR CONGRESS",13800,5,2760
"282","NEVADANS FOR STEVEN HORSFORD",13800,3,4600
"283","TIFFANY SHEDD FOR CONGRESS COMMITTEE",13800,3,4600
"284","ROBIN KELLY FOR CONGRESS",13750,4,3437.5
"285","HANDEL FOR CONGRESS, INC.",13700,3,4566.66666666667
"286","KAINE FOR VIRGINIA",13700,5,2740
"287","TOM O'HALLERAN FOR CONGRESS",13700,3,4566.66666666667
"288","COLE FOR CONGRESS",13600,3,4533.33333333333
"289","MENENDEZ FOR SENATE",13600,5,2720
"290","SCHNEIDER FOR CONGRESS",13600,4,3400
"291","VOTETIPTON.COM",13600,3,4533.33333333333
"292","FRIENDS OF DAVE BRAT INC.",13500,3,4500
"293","HEARTLAND VALUES PAC",13500,4,3375
"294","JOHN JAMES FOR SENATE INC",13500,3,4500
"295","LEAH FOR SENATE",13500,3,4500
"296","MAST VICTORY COMMITTEE",13500,3,4500
"297","MIKE BRAUN FOR INDIANA",13500,4,3375
"298","SAVE OUR SENATE COMMITTEE",13500,1,13500
"299","YODER FOR CONGRESS, INC",13500,3,4500
"300","GOP WINNING WOMEN",13400,2,6700
"301","AMY FOR AMERICA",13200,3,4400
"302","SCHATZ FOR SENATE",13100,4,3275
"303","The Congressman Joe Barton Committee",13100,3,4366.66666666667
"304","BERGMAN FOR CONGRESS",13000,4,3250
"305","PEOPLE FOR PATTY MURRAY",13000,4,3250
"306","MAST FOR CONGRESS",12800,3,4266.66666666667
"307","BAYH VICTORY FUND",12700,1,12700
"308","Russ Victory Fund",12700,1,12700
"309","TINA SMITH VICTORY",12700,1,12700
"310","BILL SHUSTER FOR CONGRESS",12600,4,3150
"311","JAIME FOR CONGRESS",12600,3,4200
"312","NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE",12500,4,3125
"313","PROMOTING OUR REPUBLICAN TEAM PAC",12500,3,4166.66666666667
"314","REPUBLICAN PARTY OF WISCONSIN",12500,2,6250
"315","SECURITY IS STRENGTH PAC",12500,1,12500
"316","MCCAUL FOR CONGRESS, INC",12300,3,4100
"317","BEATTY FOR CONGRESS",12200,3,4066.66666666667
"318","CHRIS COONS FOR DELAWARE",12150,4,3037.5
"319","ALAMO PAC",12000,3,4000
"320","DEMOCRATIC PARTY OF WISCONSIN",12000,2,6000
"321","FREDERICA S. WILSON FOR CONGRESS",12000,3,4000
"322","FRIENDS OF DICK DURBIN COMMITTEE",12000,4,3000
"323","MCHENRY FOR CONGRESS",12000,3,4000
"324","MOOLENAAR FOR CONGRESS",12000,4,3000
"325","CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE",11800,3,3933.33333333333
"326","MARK KELLY FOR SENATE",11800,3,3933.33333333333
"327","RO FOR CONGRESS INC.",11800,3,3933.33333333333
"328","ROSKAM FOR CONGRESS COMMITTEE",11800,4,2950
"329","LAUREN UNDERWOOD FOR CONGRESS",11600,3,3866.66666666667
"330","MARIO DIAZ-BALART FOR CONGRESS",11600,3,3866.66666666667
"331","Winred",11500,4,2875
"332","FRIENDS OF MIKE LEE INC",11400,4,2850
"333","GEORGE HOLDING FOR CONGRESS INC.",11400,3,3800
"334","PORTMAN-OHIO VICTORY COMMITTEE",11400,3,3800
"335","WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE",11300,3,3766.66666666667
"336","CORY 2020",11250,5,2250
"337","ANDRE CARSON FOR CONGRESS",11200,3,3733.33333333333
"338","ASHLEY HINSON FOR CONGRESS",11200,2,5600
"339","FISCHBACH FOR CONGRESS",11200,2,5600
"340","GEORGIANS FOR KELLY LOEFFLER",11200,2,5600
"341","HUNT FOR CONGRESS",11200,3,3733.33333333333
"342","Kennedy/Sinema Victory Fund",11200,1,11200
"343","MAJORITY RISING",11200,1,11200
"344","MAKING AMERICA PROSPEROUS PAC",11200,4,2800
"345","RON JOHNSON VICTORY",11200,1,11200
"346","SALAZAR FOR CONGRESS",11200,2,5600
"347","Team Graham",11200,2,5600
"348","Hillary for America",11110,3,3703.33333333333
"349","Alex Mooney for Congress",11000,2,5500
"350","ALEX MOONEY FOR CONGRESS",11000,2,5500
"351","AMERICAN INVESTMENT COUNCIL POLITICAL ACTION COMMITTEE - AIC PAC",11000,2,5500
"352","CAROL FOR CONGRESS",11000,2,5500
"353","CINDY HYDE-SMITH FOR US SENATE",11000,2,5500
"354","DAN LIPINSKI FOR CONGRESS",11000,2,5500
"355","DEBBIE LESKO FOR CONGRESS",11000,2,5500
"356","DONALD J. TRUMP FOR PRESIDENT, INC.",11000,2,5500
"357","DUFFY VICTORY FUND",11000,2,5500
"358","DUNCAN D. HUNTER FOR CONGRESS",11000,3,3666.66666666667
"359","FRIENDS OF BEN MCADAMS",11000,2,5500
"360","HURD FOR CONGRESS",11000,3,3666.66666666667
"361","JOHN CARTER FOR CONGRESS",11000,2,5500
"362","SUSIE LEE FOR CONGRESS",11000,2,5500
"363","THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)",11000,4,2750
"364","DEAN PHILLIPS FOR CONGRESS",10900,3,3633.33333333333
"365","LOU CORREA FOR CONGRESS",10900,3,3633.33333333333
"366","Ohio Republican Party State Central & Executive Committee",10900,3,3633.33333333333
"367","SASSE LEADERSHIP COMMITTEE",10900,3,3633.33333333333
"368","COFFMAN FOR CONGRESS 2018",10800,2,5400
"369","Comstock for Congress",10800,3,3600
"370","DAN CRENSHAW FOR CONGRESS",10800,3,3600
"371","DUFFY FOR WISCONSIN",10800,3,3600
"372","FRIENDS OF WINNING WOMEN 2016",10800,1,10800
"373","HOOSIERS FOR ROKITA, INC.",10800,2,5400
"374","KEEP THE SENATE RED 2016",10800,1,10800
"375","MCCAIN-AYOTTE JOINT VICTORY COMMITTEE",10800,1,10800
"376","Russ for Wisconsin",10800,3,3600
"377","STRANGE FOR SENATE",10800,3,3600
"378","SUOZZI FOR CONGRESS",10800,2,5400
"379","Trott For Congress, Inc.",10800,2,5400
"380","Wyden for Senate",10800,2,5400
"381","GREG FOR MONTANA",10600,3,3533.33333333333
"382","MANCHIN FOR WEST VIRGINIA",10600,3,3533.33333333333
"383","McConnell Senate Committee",10600,2,5300
"384","TED BUDD FOR CONGRESS",10600,2,5300
"385","BOOZMAN FOR ARKANSAS",10400,2,5200
"386","COMMITTEE TO ELECT DAN KOH",10400,3,3466.66666666667
"387","CROWLEY LEADERSHIP FUND",10400,1,10400
"388","Stivers Victory Committee",10400,1,10400
"389","VIRGINIA TOGETHER",10400,1,10400
"390","Graham Victory 2020",10300,1,10300
"391","GREG PENCE FOR CONGRESS",10100,4,2525
"392","Illinois Republican Party",10050,1,10050
"393","Americans for Tomorrow's Future",10000,1,10000
"394","AMERICANS FOR TOMORROW'S FUTURE",10000,1,10000
"395","ARIZONA DEMOCRATIC PARTY",10000,1,10000
"396","BELIEVE IN UTAH JOINT FUNDRAISING COMMITTEE",10000,1,10000
"397","Brady Victory Fund",10000,1,10000
"398","De Leon Victory Fund",10000,1,10000
"399","DEMOCRATIC PARTY OF VIRGINIA",10000,1,10000
"400","FUND FOR THE MAJORITY PAC",10000,1,10000
"401","Georgia Federal Elections Committee",10000,1,10000
"402","GREAT AMERICA COMMITTEE",10000,2,5000
"403","GREEN MOUNTAIN PAC",10000,2,5000
